# Curve 0 of 1, 100 points	# Curve 0 of 1, 100 points
# Curve title: ".5*sqrt(1-x**2)"	# Curve title: "3*x+1.5+.1*cos(x*50)"
# x y type	# x y type
 0  0.5  i	 0  1.6  i
 0.010101  0.499974  i	 0.010101  1.61782  i
 0.020202  0.499898  i	 0.020202  1.61378  i
 0.030303  0.49977  i	 0.030303  1.59647  i
 0.040404  0.499592  i	 0.040404  1.57777  i
 0.0505051  0.499362  i	 0.0505051  1.56992  i
 0.0606061  0.499081  i	 0.0606061  1.58244  i
 0.0707071  0.498749  i	 0.0707071  1.61977  i
 0.0808081  0.498365  i	 0.0808081  1.68017  i
 0.0909091  0.49793  i	 0.0909091  1.75611  i
 0.10101  0.497443  i	 0.10101  1.8362  i
 0.111111  0.496904  i	 0.111111  1.90801  i
 0.121212  0.496313  i	 0.121212  1.96117  i
 0.131313  0.49567  i	 0.131313  1.98998  i
 0.141414  0.494975  i	 0.141414  1.9948  i
 0.151515  0.494227  i	 0.151515  1.98201  i
 0.161616  0.493427  i	 0.161616  1.96236  i
 0.171717  0.492573  i	 0.171717  1.94832  i
 0.181818  0.491666  i	 0.181818  1.95098  i
 0.191919  0.490705  i	 0.191919  1.97722  i
 0.20202  0.489691  i	 0.20202  2.02807  i
 0.212121  0.488622  i	 0.212121  2.09839  i
 0.222222  0.487498  i	 0.222222  2.17819  i
 0.232323  0.486319  i	 0.232323  2.25512  i
 0.242424  0.485085  i	 0.242424  2.31753  i
 0.252525  0.483795  i	 0.252525  2.3574  i
 0.262626  0.482449  i	 0.262626  2.37234  i
 0.272727  0.481046  i	 0.272727  2.36619  i
 0.282828  0.479585  i	 0.282828  2.34806  i
 0.292929  0.478067  i	 0.292929  2.33003  i
 0.30303  0.47649  i	 0.30303  2.32418  i
 0.313131  0.474855  i	 0.313131  2.33953  i
 0.323232  0.47316  i	 0.323232  2.37981  i
 0.333333  0.471405  i	 0.333333  2.44254  i
 0.343434  0.469588  i	 0.343434  2.51962  i
 0.353535  0.467711  i	 0.353535  2.59936  i
 0.363636  0.46577  i	 0.363636  2.66943  i
 0.373737  0.463767  i	 0.373737  2.71989  i
 0.383838  0.4617  i	 0.383838  2.74571  i
 0.393939  0.459568  i	 0.393939  2.74801  i
 0.40404  0.457371  i	 0.40404  2.73378  i
 0.414141  0.455106  i	 0.414141  2.71414  i
 0.424242  0.452774  i	 0.424242  2.70157  i
 0.434343  0.450374  i	 0.434343  2.70676  i
 0.444444  0.447903  i	 0.444444  2.73599  i
 0.454545  0.445362  i	 0.454545  2.78953  i
 0.464646  0.442748  i	 0.464646  2.86157  i
 0.474747  0.440061  i	 0.474747  2.9417  i
 0.484848  0.437299  i	 0.484848  3.01746  i
 0.494949  0.434461  i	 0.494949  3.07752  i
 0.505051  0.431545  i	 0.505051  3.11443  i
 0.515152  0.42855  i	 0.515152  3.12656  i
 0.525253  0.425473  i	 0.525253  3.11843  i
 0.535354  0.422314  i	 0.535354  3.09965  i
 0.545455  0.41907  i	 0.545455  3.08247  i
 0.555556  0.41574  i	 0.555556  3.07874  i
 0.565657  0.41232  i	 0.565657  3.09697  i
 0.575758  0.40881  i	 0.575758  3.14017  i
 0.585859  0.405207  i	 0.585859  3.20512  i
 0.59596  0.401507  i	 0.59596  3.28317  o
 0.606061  0.397709  i	 0.606061  3.36239  o
 0.616162  0.39381  i	 0.616162  3.43057  o
 0.626263  0.389806  i	 0.626263  3.47826  o
 0.636364  0.385695  i	 0.636364  3.50111  o
 0.646465  0.381472  i	 0.646465  3.50098  o
 0.656566  0.377134  i	 0.656566  3.48547  o
 0.666667  0.372678  i	 0.666667  3.46603  o
 0.676768  0.368098  i	 0.676768  3.45507  o
 0.686869  0.363391  i	 0.686869  3.46289  o
 0.69697  0.35855  i	 0.69697  3.49511  o
 0.707071  0.353571  i	 0.707071  3.55126  o
 0.717172  0.348448  i	 0.717172  3.62487  o
 0.727273  0.343174  i	 0.727273  3.70513  o
 0.737374  0.337742  i	 0.737374  3.77958  o
 0.747475  0.332145  i	 0.747475  3.83718  o
 0.757576  0.326374  i	 0.757576  3.87112  o
 0.767677  0.320419  i	 0.767677  3.88049  o
 0.777778  0.31427  i	 0.777778  3.87052  o
 0.787879  0.307915  i	 0.787879  3.85127  o
 0.79798  0.301342  i	 0.79798  3.8351  o
 0.808081  0.294536  i	 0.808081  3.83363  o
 0.818182  0.28748  i	 0.818182  3.85478  o
 0.828283  0.280155  i	 0.828283  3.90084  o
 0.838384  0.27254  i	 0.838384  3.96789  o
 0.848485  0.26461  i	 0.848485  4.04673  o
 0.858586  0.256335  i	 0.858586  4.12525  o
 0.868687  0.247681  i	 0.868687  4.19142  o
 0.878788  0.238606  i	 0.878788  4.23627  o
 0.888889  0.229061  i	 0.888889  4.25618  o
 0.89899  0.218985  i	 0.89899  4.25373  o
 0.909091  0.208299  i	 0.909091  4.23711  o
 0.919192  0.196905  i	 0.919192  4.21804  o
 0.929293  0.184672  i	 0.929293  4.20883  o
 0.939394  0.17142  i	 0.939394  4.21937  o
 0.949495  0.156891  i	 0.949495  4.25458  o
 0.959596  0.140691  i	 0.959596  4.31323  o
 0.969697  0.122155  i	 0.969697  4.38826  o
 0.979798  0.0999949  i	 0.979798  4.46849  o
 0.989899  0.0708872  i	 0.989899  4.54145  o
 1  0  i	 1  4.5965  o
